example_id                                                        | status | run_time        |
./spec/graphql/mutations/refresh_token_spec.rb[1:3:1]             | passed | 0.01059 seconds |
./spec/graphql/mutations/refresh_token_spec.rb[1:3:2]             | passed | 0.03931 seconds |
./spec/graphql/mutations/refresh_token_spec.rb[1:4:1]             | passed | 0.04853 seconds |
./spec/graphql/mutations/refresh_token_spec.rb[1:5:1]             | passed | 0.04299 seconds |
./spec/graphql/mutations/refresh_token_spec.rb[1:6:1]             | passed | 0.03938 seconds |
./spec/graphql/mutations/register_user_spec.rb[1:1:1]             | passed | 0.04686 seconds |
./spec/graphql/mutations/register_user_spec.rb[1:1:2]             | passed | 0.06652 seconds |
./spec/graphql/mutations/register_user_spec.rb[1:2:1]             | passed | 0.0445 seconds  |
./spec/graphql/mutations/register_user_spec.rb[1:3:1]             | passed | 0.01677 seconds |
./spec/graphql/mutations/register_user_spec.rb[1:3:2]             | passed | 0.01395 seconds |
./spec/graphql/mutations/register_user_spec.rb[1:4:1]             | passed | 0.01527 seconds |
./spec/graphql/mutations/register_user_spec.rb[1:5:1]             | passed | 0.01555 seconds |
./spec/graphql/mutations/register_user_spec.rb[1:5:2]             | passed | 0.01595 seconds |
./spec/graphql/mutations/request_password_reset_spec.rb[1:1:1]    | passed | 0.04509 seconds |
./spec/graphql/mutations/request_password_reset_spec.rb[1:1:2]    | passed | 0.0493 seconds  |
./spec/graphql/mutations/request_password_reset_spec.rb[1:2:1]    | passed | 0.00779 seconds |
./spec/graphql/mutations/request_password_reset_spec.rb[1:2:2]    | passed | 0.01005 seconds |
./spec/graphql/mutations/request_password_reset_spec.rb[1:3:1]    | passed | 0.00667 seconds |
./spec/graphql/mutations/resend_verification_email_spec.rb[1:1:1] | passed | 0.03601 seconds |
./spec/graphql/mutations/resend_verification_email_spec.rb[1:2:1] | passed | 0.04508 seconds |
./spec/graphql/mutations/resend_verification_email_spec.rb[1:3:1] | passed | 0.03943 seconds |
./spec/graphql/mutations/resend_verification_email_spec.rb[1:4:1] | passed | 0.00701 seconds |
./spec/graphql/mutations/reset_password_spec.rb[1:1:1]            | passed | 0.07665 seconds |
./spec/graphql/mutations/reset_password_spec.rb[1:1:2]            | passed | 0.09084 seconds |
./spec/graphql/mutations/reset_password_spec.rb[1:1:3]            | passed | 0.08119 seconds |
./spec/graphql/mutations/reset_password_spec.rb[1:2:1]            | passed | 0.01082 seconds |
./spec/graphql/mutations/reset_password_spec.rb[1:3:1]            | passed | 0.05236 seconds |
./spec/graphql/mutations/reset_password_spec.rb[1:4:1]            | passed | 0.05379 seconds |
./spec/graphql/mutations/reset_password_spec.rb[1:4:2]            | passed | 0.05851 seconds |
./spec/graphql/mutations/reset_password_spec.rb[1:5:1]            | passed | 0.0792 seconds  |
./spec/graphql/mutations/revoke_session_spec.rb[1:1:1]            | passed | 0.06586 seconds |
./spec/graphql/mutations/revoke_session_spec.rb[1:1:2]            | passed | 0.10643 seconds |
./spec/graphql/mutations/revoke_session_spec.rb[1:1:3]            | passed | 0.06638 seconds |
./spec/graphql/mutations/revoke_session_spec.rb[1:2:1]            | passed | 0.07159 seconds |
./spec/graphql/mutations/revoke_session_spec.rb[1:3:1]            | passed | 0.10424 seconds |
./spec/graphql/mutations/revoke_session_spec.rb[1:4:1]            | passed | 0.03605 seconds |
./spec/graphql/mutations/revoke_session_spec.rb[1:5:1]            | passed | 0.04645 seconds |
./spec/graphql/mutations/revoke_session_spec.rb[1:6:1]            | passed | 0.04238 seconds |
./spec/graphql/mutations/revoke_session_spec.rb[1:7:1]            | passed | 0.06792 seconds |
./spec/graphql/mutations/update_my_profile_spec.rb[1:1:1]         | passed | 0.05087 seconds |
./spec/graphql/mutations/update_my_profile_spec.rb[1:1:2]         | passed | 0.04697 seconds |
./spec/graphql/mutations/update_my_profile_spec.rb[1:2:1]         | passed | 0.03757 seconds |
./spec/graphql/mutations/update_my_profile_spec.rb[1:3:1]         | passed | 0.00844 seconds |
./spec/graphql/mutations/update_my_profile_spec.rb[1:4:1]         | passed | 0.04461 seconds |
./spec/graphql/mutations/update_my_profile_spec.rb[1:4:2]         | passed | 0.04295 seconds |
./spec/graphql/mutations/update_user_by_email_spec.rb[1:1:1]      | passed | 0.10829 seconds |
./spec/graphql/mutations/update_user_by_email_spec.rb[1:1:2]      | passed | 0.11749 seconds |
./spec/graphql/mutations/update_user_by_email_spec.rb[1:2:1]      | passed | 0.05552 seconds |
./spec/graphql/mutations/update_user_by_email_spec.rb[1:3:1]      | passed | 0.06802 seconds |
./spec/graphql/mutations/update_user_by_email_spec.rb[1:4:1]      | passed | 0.04006 seconds |
./spec/graphql/mutations/update_user_role_spec.rb[1:1:1]          | passed | 0.09541 seconds |
./spec/graphql/mutations/update_user_role_spec.rb[1:1:2]          | passed | 0.09642 seconds |
./spec/graphql/mutations/update_user_role_spec.rb[1:1:3]          | passed | 0.0888 seconds  |
./spec/graphql/mutations/update_user_role_spec.rb[1:2:1]          | passed | 0.06563 seconds |
./spec/graphql/mutations/update_user_role_spec.rb[1:3:1]          | passed | 0.03691 seconds |
./spec/graphql/mutations/update_user_role_spec.rb[1:4:1]          | passed | 0.04835 seconds |
./spec/graphql/mutations/update_user_spec.rb[1:1:1]               | passed | 0.09981 seconds |
./spec/graphql/mutations/update_user_spec.rb[1:1:2]               | passed | 0.10319 seconds |
./spec/graphql/mutations/update_user_spec.rb[1:2:1]               | passed | 0.0604 seconds  |
./spec/graphql/mutations/update_user_spec.rb[1:2:2]               | passed | 0.04228 seconds |
./spec/graphql/mutations/update_user_spec.rb[1:2:3]               | passed | 0.06607 seconds |
./spec/graphql/mutations/update_user_spec.rb[1:3:1]               | passed | 0.05563 seconds |
